"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"KANSL1",1,0,1,0.492840488933553,0.999733505943003,0.000266494053502093,3.49489819993616e-12,0.0355186066613423,0.114591447151115,TRUE
"PTPRB",1,0,1,0.492679542636438,0.943502941208234,0.0564970587917245,4.10297784152416e-14,0.0355070073947455,0.114554025166692,TRUE
"PPFIA1",2,0,1,0.492622482684195,0.999999874338716,1.25661284309287e-07,1.36278193584083e-19,0.0355028951311525,0.114540758029254,TRUE
"ABCB6",1,0,1,0.488915131305557,2.11132200307841e-17,0.0497999629480226,0.950200037051977,0.0352357093817467,0.113678753447416,TRUE
"RPL14",1,0,1,0.488432710185649,0.936435427719195,0.0632811265156858,0.000283445765119322,0.0352009416903985,0.11356658463112,TRUE
"BNC1",1,0,1,0.487805766594442,0.886168665378858,0.113778893026482,5.24415946601071e-05,0.0351557583840043,0.113420812570967,FALSE
"PROS1",1,0,1,0.480450132088363,0.000209233911903675,0.995112544121315,0.00467822196678099,0.0346256438852314,0.111710537498823,FALSE
"AGK",2,0,2,0.240131744780696,2.4706842233331e-06,0.978208278970493,0.0217892503452834,0.0173060963562945,0.111667140826379,TRUE
"FBXO30",1,0,1,0.472399645766608,0.987340441468601,0.0126585037268633,1.05480453599357e-06,0.0340454519904589,0.109838700872988,TRUE
"VIL1",2,0,2,0.235853344759541,1.21278222497287e-05,0.999514699791872,0.000473172385878559,0.0169977556032446,0.109677580062098,FALSE
"FAM47B",2,0,2,0.234977036671954,0.000117993061079711,0.382239079520397,0.617642927418523,0.0169346008037181,0.109270075345413,FALSE
"ARFGAP2",1,0,1,0.469446638410353,0.562990971385505,0.436986931049597,2.20975648983131e-05,0.0338326311912145,0.109152090511219,TRUE
"RUFY1",1,0,1,0.464255689346573,0.0646702146609533,0.935303663176112,2.61221629343127e-05,0.0334585237829648,0.107945131305019,TRUE
"JMJD1C",2,0,2,0.231538977696688,0.999999999962643,3.73572110707239e-11,1.72817536618924e-27,0.0166868227352294,0.107671293742793,TRUE
"BICC1",1,0,1,0.458336914330071,0.571303026474837,0.428696802437991,1.71087171028843e-07,0.0330319625599146,0.106568943654588,FALSE
"ETV2",1,1,0,2.21020645184649,0.0328967978548939,0.926872870549323,0.0402303315957836,0.159287752054155,0.106132870266357,FALSE
